timestamp,heart_rate,garmin_spo2,garmin_confidence,o2ring_spo2,o2ring_pulse,o2ring_motion
2025-03-07 23:52:00,64.0,98.0,2.0,96.93333333333334,61.46666666666667,1.6666666666666667
2025-03-07 23:53:00,61.5,98.0,2.0,96.8,59.13333333333333,1.1333333333333333
2025-03-07 23:54:00,59.0,98.0,2.0,96.66666666666667,58.733333333333334,1.1333333333333333
2025-03-07 23:55:00,58.5,97.0,2.0,96.2,60.333333333333336,1.0
2025-03-07 23:56:00,58.0,98.0,2.0,96.0,59.666666666666664,1.0666666666666667
2025-03-07 23:57:00,58.0,98.0,2.0,96.13333333333334,59.666666666666664,1.7333333333333334
2025-03-07 23:58:00,58.0,98.0,2.0,95.6,59.0,1.9333333333333333
2025-03-07 23:59:00,58.0,98.0,2.0,96.73333333333333,57.53333333333333,1.8
2025-03-08 00:00:00,58.0,96.0,2.0,96.6,58.266666666666666,1.9333333333333333
2025-03-08 00:01:00,57.5,97.0,2.0,96.4,57.46666666666667,1.4
2025-03-08 00:02:00,57.0,97.0,3.0,96.2,57.53333333333333,1.0666666666666667
2025-03-08 00:03:00,57.5,95.0,3.0,95.93333333333334,57.46666666666667,1.3333333333333333
2025-03-08 00:04:00,58.0,95.0,2.0,95.46666666666667,58.6,1.2
2025-03-08 00:05:00,58.5,95.0,2.0,95.66666666666667,58.06666666666667,1.0666666666666667
2025-03-08 00:06:00,59.0,95.0,2.0,94.33333333333333,59.4,1.0666666666666667
2025-03-08 00:07:00,58.5,94.0,3.0,96.46666666666667,57.8,1.3333333333333333
2025-03-08 00:08:00,58.0,94.0,4.0,96.6,57.13333333333333,1.3333333333333333
2025-03-08 00:09:00,58.0,94.0,5.0,95.73333333333333,58.733333333333334,1.4666666666666666
2025-03-08 00:10:00,58.0,94.0,3.0,96.33333333333333,59.0,1.4
2025-03-08 00:11:00,58.0,94.0,2.0,96.53333333333333,58.46666666666667,1.1333333333333333
2025-03-08 00:12:00,58.0,97.0,2.0,96.2,58.666666666666664,1.2
2025-03-08 00:13:00,59.0,96.0,2.0,95.33333333333333,60.06666666666667,1.0666666666666667
2025-03-08 00:14:00,60.0,97.0,2.0,95.93333333333334,59.86666666666667,1.0666666666666667
2025-03-08 00:15:00,59.5,97.0,2.0,96.26666666666667,58.6,1.1333333333333333
2025-03-08 00:16:00,59.0,97.0,2.0,96.73333333333333,58.266666666666666,1.2
2025-03-08 00:17:00,59.0,96.0,2.0,95.66666666666667,59.13333333333333,1.0666666666666667
2025-03-08 00:18:00,59.0,97.0,2.0,95.53333333333333,60.2,1.1333333333333333
2025-03-08 00:19:00,59.5,97.0,3.0,95.6,59.733333333333334,1.0666666666666667
2025-03-08 00:20:00,60.0,97.0,1.0,95.73333333333333,61.4,1.1333333333333333
2025-03-08 00:21:00,60.5,96.0,3.0,95.53333333333333,61.266666666666666,1.1333333333333333
2025-03-08 00:22:00,61.0,96.0,3.0,95.66666666666667,62.86666666666667,1.1333333333333333
2025-03-08 00:23:00,61.5,97.0,1.0,95.46666666666667,62.13333333333333,1.0666666666666667
2025-03-08 00:24:00,62.0,96.0,1.0,95.0,62.0,1.0666666666666667
2025-03-08 00:25:00,62.0,96.0,2.0,95.2,61.6,1.0666666666666667
2025-03-08 00:26:00,62.0,99.0,1.0,94.46666666666667,62.86666666666667,1.2666666666666666
2025-03-08 00:27:00,62.0,99.0,1.0,95.4,62.2,1.0666666666666667
2025-03-08 00:28:00,62.0,99.0,2.0,95.0,61.86666666666667,1.0666666666666667
2025-03-08 00:29:00,61.5,98.0,4.0,95.26666666666667,61.333333333333336,1.1333333333333333
2025-03-08 00:30:00,61.0,99.0,4.0,95.66666666666667,60.13333333333333,1.0666666666666667
2025-03-08 00:31:00,60.5,99.0,2.0,95.93333333333334,60.06666666666667,1.1333333333333333
2025-03-08 00:32:00,60.0,99.0,2.0,95.46666666666667,59.93333333333333,1.1333333333333333
2025-03-08 00:33:00,60.0,99.0,6.0,95.46666666666667,59.666666666666664,1.0
2025-03-08 00:34:00,60.0,98.0,5.0,96.06666666666666,60.733333333333334,1.0
2025-03-08 00:35:00,60.0,98.0,5.0,96.06666666666666,59.06666666666667,1.0
2025-03-08 00:36:00,60.0,97.0,5.0,95.46666666666667,60.06666666666667,1.1333333333333333
2025-03-08 00:37:00,60.5,97.0,3.0,96.53333333333333,60.06666666666667,1.0666666666666667
2025-03-08 00:38:00,61.0,98.0,4.0,96.2,61.6,1.0666666666666667
2025-03-08 00:39:00,61.5,98.0,4.0,96.46666666666667,61.6,1.0666666666666667
2025-03-08 00:40:00,62.0,97.0,4.0,96.2,60.266666666666666,1.0
2025-03-08 00:41:00,63.5,98.0,7.0,94.66666666666667,65.46666666666667,1.1333333333333333
2025-03-08 00:42:00,65.0,98.0,4.0,95.73333333333333,66.26666666666667,1.1333333333333333
2025-03-08 00:43:00,66.5,97.0,3.0,95.26666666666667,66.13333333333334,1.2
2025-03-08 00:44:00,68.0,97.0,3.0,94.93333333333334,66.66666666666667,1.0666666666666667
2025-03-08 00:45:00,67.0,98.0,5.0,94.93333333333334,65.73333333333333,1.0
2025-03-08 00:46:00,66.0,98.0,3.0,94.33333333333333,66.8,1.1333333333333333
2025-03-08 00:47:00,66.0,98.0,4.0,96.0,66.93333333333334,1.0
2025-03-08 00:48:00,66.0,98.0,3.0,95.2,63.333333333333336,1.0
2025-03-08 00:49:00,66.0,98.0,3.0,96.0,65.8,1.0
2025-03-08 00:50:00,66.0,99.0,3.0,95.6,67.4,1.1333333333333333
